Ticker,FromStockAnalysisKeyword,FromYahooSearch,FromETFDBPages,FromSeeds,NameHint
1499.T,False,True,False,False,MITSUBISHI UFJ ASSET MANAGEMENT
AAA,True,False,False,False,Alternative Access First Priority CLO Bond ETF
AAUM,True,False,False,False,Tema Alternative Asset Managers ETF
ABNY,True,False,False,False,YieldMax ABNB Option Income Strategy ETF
ACIO,True,False,False,False,Aptus Collared Investment Opportunity ETF
AETH,True,False,False,False,Bitwise Trendwise Ether and Treasuries Rotation Strategy ETF
AGRH,True,False,False,False,iShares Interest Rate Hedged U.S. Aggregate Bond ETF
AGZD,True,False,False,False,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund
AHLT,True,False,False,False,American Beacon AHL Trend ETF
AIPI,True,True,False,False,REX AI Equity Premium Income ETF
AIYY,True,False,False,False,YieldMax AI Option Income Strategy ETF
ALTY,True,False,False,False,Global X Alternative Income ETF
AMAX,True,False,False,False,Adaptive Hedged Multi-Asset Income ETF
AMDY,True,False,False,False,YieldMax AMD Option Income Strategy ETF
AMZY,True,False,False,False,YieldMax AMZN Option Income Strategy ETF
APLY,True,False,False,False,YieldMax AAPL Option Income Strategy ETF
APRH,True,False,False,False,Innovator Premium Income 20 Barrier ETF - April
APRJ,True,False,False,False,Innovator Premium Income 30 Barrier ETF - April
ARB,True,True,False,False,AltShares Merger Arbitrage ETF
ARMH,True,False,False,False,Arm Holdings PLC ADRhedged
ARP,True,False,False,False,PMV Adaptive Risk Parity ETF
ASGM,True,True,False,False,Virtus AlphaSimplex Global Macro ETF
ASMF,True,False,False,False,Virtus Alphasimplex Managed Futures ETF
ASMH,True,False,False,False,ASML Holding NV ADRhedged
ATTR,True,True,False,False,Arin Tactical Tail Risk ETF
BABO,True,False,False,False,YieldMax BABA Option Income Strategy ETF
BAGY,True,False,False,False,Amplify Bitcoin Max Income Covered Call ETF
BALI,True,False,False,False,iShares U.S. Large Cap Premium Income Active ETF
BALQ,True,False,False,False,iShares Nasdaq Premium Income Active ETF
BCCC,True,False,False,False,Global X Bitcoin Covered Call ETF
BIGY,True,False,False,False,YieldMax Target 12 Big 50 Option Income ETF
BITC,True,False,False,False,Bitwise Trendwise Bitcoin and Treasuries Rotation Strategy ETF
BITK,True,False,False,False,Tuttle Capital Bitcoin 0DTE Covered Call ETF
BITY,True,False,False,False,Amplify Bitcoin 2% Monthly Option Income ETF
BPH,True,False,False,False,BP p.l.c. ADRhedged
BPI,True,False,False,False,Grayscale Bitcoin Premium Income ETF
BRKC,True,False,False,False,YieldMax BRK.B Option Income Strategy ETF
BTAL,True,False,True,True,AGF U.S. Market Neutral Anti-Beta Fund
BTCC,True,False,False,False,Grayscale Bitcoin Covered Call ETF
BTOP,True,False,False,False,Bitwise Trendwise BTC/ETH and Treasuries Rotation Strategy ETF
BTRN,True,False,False,False,Global X Bitcoin Trend Strategy ETF
BUCK,True,False,False,False,Simplify Treasury Option Income ETF
BUYW,True,False,False,False,Main BuyWrite ETF
CAOS,True,True,False,True,Alpha Architect Tail Risk ETF
CBLS,True,False,True,False,Clough Hedged Equity ETF
CCEF,True,False,False,False,Calamos CEF Income & Arbitrage ETF
CCOR,True,False,False,False,Core Alternative ETF
CEPI,True,False,False,False,REX Crypto Equity Premium Income ETF
CFIT,True,False,False,False,Cambria Fixed Income Trend ETF
CGIB,True,False,False,False,Capital Group International Bond ETF (USD-Hedged)
CHPY,True,True,False,False,YieldMax Semiconductor Portfolio Option Income ETF
CLIX,False,False,True,False,ProShares Long Online/Short Stores ETF
CLSE,True,False,True,False,Convergence Long/Short Equity ETF
CONY,True,False,False,False,YieldMax COIN Option Income Strategy ETF
CRCO,True,False,False,False,YieldMax CRCL Option Income Strategy ETF
CRSH,True,False,False,False,YieldMax Short TSLA Option Income Strategy ETF
CSM,False,False,True,False,ProShares Large Cap Core Plus
CTA,True,False,True,True,Simplify Managed Futures Strategy ETF
CTAP,True,False,False,False,Simplify US Equity PLUS Managed Futures Strategy ETF
CVNY,True,False,False,False,YieldMax CVNA Option Income Strategy ETF
CVRD,True,False,False,False,Madison Covered Call ETF
CVRT,True,False,False,False,Calamos Convertible Equity Alternative ETF
DANC.NE,False,True,False,False,DESJARDINS MARKET NEUTRAL ETF
DANC.TO,False,True,False,False,DESJARDINS MARKET NEUTRAL ETF
DBAW,True,False,False,True,Xtrackers MSCI All World ex US Hedged Equity ETF
DBEF,True,False,False,False,Xtrackers MSCI EAFE Hedged Equity ETF
DBEH,False,False,False,True,
DBEM,True,False,False,False,Xtrackers MSCI Emerging Markets Hedged Equity ETF
DBEU,True,False,False,False,Xtrackers MSCI Europe Hedged Equity ETF
DBEZ,True,False,False,False,Xtrackers MSCI Eurozone Hedged Equity ETF
DBJP,True,False,False,False,Xtrackers MSCI Japan Hedged Equity ETF
DBMF,True,False,False,True,iMGP DBi Managed Futures Strategy ETF
DBND,False,False,False,True,DoubleLine Opportunistic Core Bond ETF
DGLM.TO,False,True,False,False,DESJARDINS GLOBAL MACRO ETF
DIPS,True,False,False,False,YieldMax Short NVDA Option Income Strategy ETF
DISO,True,False,False,False,YieldMax DIS Option Income Strategy ETF
DIVO,False,False,False,True,Amplify CWP Enhanced Dividend Income ETF
DJIA,True,False,False,False,Global X Dow 30 Covered Call ETF
DRAY,True,False,False,False,YieldMax DKNG Option Income Strategy ETF
DXJ,True,False,False,False,WisdomTree Japan Hedged Equity Fund
DYLG,True,False,False,False,Global X Dow 30 Covered Call & Growth ETF
EHLS,True,True,False,False,Even Herd Long Short ETF
EHY,True,False,False,False,Amplify Ethereum Max Income Covered Call ETF
EQLS,False,False,False,True,
ETCO,True,False,False,False,Grayscale Ethereum Covered Call ETF
ETTY,True,False,False,False,Amplify Ethereum 3% Monthly Option Income ETF
EUHY,True,False,False,False,iShares Euro High Yield Corporate Bond USD Hedged ETF
EUIG,True,False,False,False,iShares Euro Investment Grade Corporate Bond USD Hedged ETF
EVNT,False,False,True,False,AltShares Event-Driven ETF
FAAR,True,False,False,False,First Trust Alternative Absolute Return Strategy ETF
FARX,True,True,False,False,Frontier Asset Absolute Return ETF
FBY,True,False,False,False,YieldMax META Option Income Strategy ETF
FCTE,True,False,False,False,SMI 3Fourteen Full-Cycle Trend ETF
FEPI,True,True,False,False,REX FANG & Innovation Equity Premium Income ETF
FFLS,True,True,False,False,Future Fund Long/Short ETF
FFUT,True,True,False,False,Fidelity Managed Futures ETF
FGLS.NE,False,True,False,False,FIDELITY GLOBAL VALUE LONG/SHOR
FHEQ,True,False,False,False,Fidelity Hedged Equity ETF
FIAT,True,False,False,False,YieldMax Short COIN Option Income Strategy ETF
FIAX,True,False,False,False,Nicholas Fixed Income Alternative ETF
FLAG,False,True,True,False,Global X S&P 500 U.S. Market Le
FLJH,True,False,False,False,Franklin FTSE Japan Hedged ETF
FLSE.TO,False,True,False,False,FIDELITY GLOBAL OPPRT LONG SHRT
FLSP,False,False,True,False,Franklin Systematic Style Premia ETF
FMF,True,False,False,True,First Trust Managed Futures Strategy Fund
FTHI,True,False,False,False,First Trust BuyWrite Income ETF
FTKI,True,False,False,False,First Trust Small Cap BuyWrite Income ETF
FTLS,True,False,True,True,First Trust Long/Short Equity ETF
FTQI,True,False,False,True,First Trust Nasdaq BuyWrite Income ETF
GDXY,True,False,False,False,YieldMax Gold Miners Option Income Strategy ETF
GGOV,True,False,False,False,iShares Global Government Bond USD Hedged Active ETF
GLDI,True,False,False,False,"UBS AG ETRACS Gold Shares Covered Call ETNs due February 2, 2033"
GMEY,True,False,False,False,YieldMax GME Option Income Strategy ETF
GMOM,False,False,False,True,Cambria Global Momentum ETF
GOOY,True,False,False,False,YieldMax GOOGL Option Income Strategy ETF
GPIQ,True,False,False,True,Goldman Sachs Nasdaq-100 Premium Income ETF
GPIX,True,False,False,True,Goldman Sachs S&P 500 Premium Income ETF
GPTY,True,True,False,False,YieldMax AI & Tech Portfolio Option Income ETF
GPZ,True,False,False,False,VanEck Alternative Asset Manager ETF
GSKH,True,False,False,False,GSK plc ADRhedged
GTR,False,False,True,False,WisdomTree Target Range Fund
GVIP,True,False,False,False,Goldman Sachs Hedge Industry VIP ETF
HAKY,True,False,False,False,Amplify HACK Cybersecurity Covered Call ETF
HAWX,True,False,False,False,iShares Currency Hedged MSCI ACWI ex U.S. ETF
HBTC,True,False,False,False,Fortuna Hedged Bitcoin ETF
HCOW,True,False,False,False,Amplify COWS Covered Call ETF
HDG,True,False,True,True,ProShares Hedge Replication ETF
HECA,True,False,False,False,Hedgeye Capital Allocation ETF
HECO,True,False,False,False,State Street Galaxy Hedged Digital Asset Ecosystem ETF
HEDG,True,False,False,False,Equable Shares Hedged Equity ETF
HEDJ,True,False,False,False,WisdomTree Europe Hedged Equity Fund
HEEM,True,False,False,False,iShares Currency Hedged MSCI Emerging Markets ETF
HEFA,True,False,False,False,iShares Currency Hedged MSCI EAFE ETF
HEFT,True,False,False,False,Hedgeye Fourth Turning ETF
HEGD,True,False,False,False,Swan Hedged Equity US Large Cap ETF
HELO,True,False,False,False,JPMorgan Hedged Equity Laddered Overlay ETF
HELS,True,False,False,False,Hedgeye 130/30 Equity ETF
HEMI,True,True,False,False,Hartford Equity Premium Income ETF
HEQQ,True,False,False,False,JPMorgan Nasdaq Hedged Equity Laddered Overlay ETF
HEQT,True,False,False,False,Simplify Hedged Equity ETF
HEWJ,True,False,False,False,iShares Currency Hedged MSCI Japan ETF
HEZU,True,False,False,False,iShares Currency Hedged MSCI Eurozone ETF
HF,True,True,False,False,DGA Core Plus Absolute Return ETF
HFEQ,True,True,True,False,Unlimited HFEQ Equity Long/Short ETF
HFGM,True,True,False,False,Unlimited HFGM Global Macro ETF
HFMF,True,True,False,False,Unlimited HFMF Managed Futures ETF
HFND,True,False,False,True,Unlimited HFND Multi-Strategy Return Tracker ETF
HGRO,True,False,False,False,Hedgeye Quality Growth ETF
HIYY,True,False,False,False,YieldMax HIMS Option Income Strategy ETF
HOLA,True,False,False,False,JPMorgan International Hedged Equity Laddered Overlay ETF
HOOY,True,False,False,False,YieldMax HOOD Option Income Strategy ETF
HSBH,True,False,False,False,HSBC Holdings plc ADRhedged
HSCZ,True,False,False,False,iShares Currency Hedged MSCI EAFE Small-Cap ETF
HTUS,False,False,True,False,Capitol Series Trust - Hull Tactical US ETF
HYGH,True,False,False,False,iShares Interest Rate Hedged High Yield Bond ETF
HYGW,True,False,False,False,iShares High Yield Corporate Bond BuyWrite Strategy ETF
HYHG,True,False,False,False,ProShares High Yield-Interest Rate Hedged ETF
HYIN,True,False,False,False,WisdomTree Private Credit and Alternative Income Fund
HYKE,True,False,False,False,Vest 2 Year Interest Rate Hedge ETF
HYTR,True,False,False,False,Counterpoint High Yield Trend ETF
HYZD,True,False,False,False,WisdomTree Interest Rate Hedged High Yield Bond Fund
IALT,True,False,False,False,iShares Systematic Alternatives Active ETF
ICOI,True,False,False,False,Bitwise COIN Option Income Strategy ETF
ICRC,True,False,False,False,Bitwise CRCL Option Income Strategy ETF
IDVO,False,False,False,True,Amplify CWP International Enhanced Dividend Income ETF
IETH,True,False,False,False,Bitwise Ethereum Option Income Strategy ETF
IGBH,True,False,False,False,iShares Interest Rate Hedged Long-Term Corporate Bond ETF
IGHG,True,False,False,False,ProShares Investment Grade-Interest Rate Hedged
IGME,True,False,False,False,Bitwise GME Option Income Strategy ETF
IHDG,True,False,False,False,WisdomTree International Hedged Quality Dividend Growth Fund
IMF,True,False,False,False,Invesco Managed Futures Strategy ETF
IMRA,True,False,False,False,Bitwise MARA Option Income Strategy ETF
IMST,True,False,False,False,Bitwise MSTR Option Income Strategy ETF
INDH,True,False,False,False,WisdomTree India Hedged Equity Fund
IRVH,True,False,False,False,Global X Interest Rate Volatility & Inflation Hedge ETF
ISMF,True,False,False,False,iShares Managed Futures Active ETF
IVOL,True,False,False,True,KraneShares Quadratic Interest Rate Volatility and Inflation Hedge ETF
IVV,False,False,True,False,iShares Core S&P 500 ETF
IVVW,True,False,False,False,iShares S&P 500 BuyWrite ETF
IWMI,False,False,False,True,NEOS Russell 2000 High Income ETF
IWMW,True,False,False,False,iShares Russell 2000 BuyWrite ETF
JANH,True,False,False,False,Innovator Premium Income 20 Barrier ETF - January
JANJ,True,False,False,False,Innovator Premium Income 30 Barrier ETF - January
JEPI,True,True,False,True,JPMorgan Equity Premium Income ETF
JEPQ,True,True,False,True,JPMorgan NASDAQ Equity Premium Income ETF
JPO,True,False,False,False,YieldMax JP Option Income Strategy ETF
JULH,True,False,False,False,Innovator Premium Income 20 Barrier ETF - July
JULJ,True,False,False,False,Innovator Premium Income 30 Barrier ETF - July
KHPI,True,False,False,False,Kensington Hedged Premium Income ETF
KLIP,True,False,False,False,KraneShares KWEB Covered Call Strategy ETF
KMLM,True,False,True,True,KraneShares Mount Lucas Managed Futures Index Strategy ETF
KSPY,True,False,False,False,KraneShares Hedgeye Hedged Equity Index ETF
KWIN,True,False,False,False,KraneShares Wahed Alternative Income Index ETF
LALT,True,False,False,False,First Trust Multi-Strategy Alternative ETF
LAPR,True,False,False,False,Innovator Premium Income 15 Buffer ETF - April
LBAY,True,False,True,False,Leatherback Long/Short Alternative Yield ETF
LFEQ,True,False,False,False,VanEck Long/Flat Trend ETF
LFGY,True,True,False,False,YieldMax Crypto Industry & Tech Portfolio Option Income ETF
LJAN,True,False,False,False,Innovator Premium Income 15 Buffer ETF - January
LJUL,True,False,False,False,Innovator Premium Income 15 Buffer ETF - July
LOCT,True,False,False,False,Innovator Premium Income 15 Buffer ETF - October
LQDH,True,False,False,False,iShares Interest Rate Hedged Corporate Bond ETF
LQDI,True,False,False,False,iShares Inflation Hedged Corporate Bond ETF
LQDW,True,False,False,False,iShares Investment Grade Corporate Bond BuyWrite Strategy ETF
MAGY,True,False,False,False,Roundhill Magnificent Seven Covered Call ETF
MARB,True,True,True,False,First Trust Merger Arbitrage ETF
MARO,True,False,False,False,YieldMax MARA Option Income Strategy ETF
MATE,True,False,False,False,Man Active Trend Enhanced ETF
MEMA,True,False,False,False,Man Active Emerging Markets Alternative ETF
MFUT,True,False,False,False,Cambria Chesapeake Pure Trend ETF
MINY,True,False,False,False,YieldMax Strategic Metals & Mining Portfolio Option Income ETF
MJ,True,False,False,False,Amplify Alternative Harvest ETF
MKTN,True,True,False,False,Federated Hermes MDT Market Neutral ETF
MLPD,True,False,False,False,Global X MLP & Energy Infrastructure Covered Call ETF
MNA,True,True,False,True,NYLI Merger Arbitrage ETF
MRNY,True,False,False,False,YieldMax MRNA Option Income Strategy ETF
MRSK,True,False,False,False,Toews Agility Shares Managed Risk ETF
MSFO,True,False,False,False,YieldMax MSFT Option Income Strategy ETF
MSMR,True,False,False,False,McElhenny Sheffield Managed Risk ETF
MSTK,True,False,False,False,Tuttle Capital MSTR 0DTE Covered Call ETF
MSTY,True,False,False,False,YieldMax MSTR Option Income Strategy ETF
NALT.NE,False,True,False,False,NBI LIQUID ALTERNATIVES ETF
NALT.TO,False,True,False,False,NBI LIQUID ALTERNATIVES ETF
NBOS,True,False,False,False,Neuberger Option Strategy ETF
NDIV,True,False,False,False,Amplify Energy & Natural Resources Covered Call ETF
NFLY,True,False,False,False,YieldMax NFLX Option Income Strategy ETF
NLSI,True,False,True,False,NEOS Long/Short Equity Income ETF
NUSI,False,False,False,True,
NVDY,True,False,False,False,YieldMax NVDA Option Income Strategy ETF
NVOH,True,False,False,False,Novo Nordisk A/S (B Shares) ADRhedged
OARK,True,False,False,False,YieldMax Innovation Option Income Strategy ETF
OCTH,True,False,False,False,Innovator Premium Income 20 Barrier ETF - October
OCTJ,True,False,False,False,Innovator Premium Income 30 Barrier ETF - October
ONEH,True,False,False,False,TrueShares Equity Hedge ETF
ORR,True,False,False,False,Militia Long/Short Equity ETF
OVLH,True,False,False,False,Overlay Shares Hedged Large Cap Equity ETF
PAPI,True,True,False,True,Parametric Equity Premium Income ETF
PBP,True,False,False,True,Invesco S&P 500 BuyWrite ETF
PFIX,True,False,False,False,Simplify Interest Rate Hedge ETF
PHDG,True,False,False,False,Invesco S&P 500 Downside Hedged ETF
PHEQ,True,False,False,False,Parametric Hedged Equity ETF
PLTY,True,False,False,False,YieldMax PLTR Option Income Strategy ETF
PRAE,True,False,False,False,PlanRock Alternative Growth ETF
PTBD,True,False,False,False,Pacer Trendpilot US Bond ETF
PTEU,True,False,False,False,Pacer Trendpilot European Index ETF
PTIN,True,False,False,False,Pacer Trendpilot International ETF
PTLC,True,False,False,False,Pacer Trendpilot US Large Cap ETF
PTMC,True,False,False,False,Pacer Trendpilot US Mid Cap ETF
PTNQ,True,False,False,False,Pacer Trendpilot 100 ETF
PYPY,True,False,False,False,YieldMax PYPL Option Income Strategy ETF
QAI,True,False,True,True,NYLI Hedge Multi-Strategy Tracker ETF
QALT,True,False,False,False,SEI DBi Multi-Strategy Alternative ETF
QBER,True,False,False,False,TrueShares Quarterly Bear Hedge ETF
QBUL,True,False,False,False,TrueShares Quarterly Bull Hedge ETF
QCLR,True,False,False,False,Global X NASDAQ 100 Collar 95-110 ETF
QDTE,True,False,False,False,Roundhill Innovation-100 0DTE Covered Call Strategy ETF
QDTY,True,False,False,False,YieldMax Nasdaq 100 0DTE Covered Call Strategy ETF
QHDG,True,False,False,False,Innovator Hedged Nasdaq-100 ETF
QIS,True,False,False,False,Simplify Multi-QIS Alternative ETF
QLS,False,False,False,True,
QQHG,True,False,False,False,Invesco QQQ Hedged Advantage ETF
QQQ,False,False,True,False,Invesco QQQ Trust Series I
QQQH,True,False,False,False,NEOS Nasdaq 100 Hedged Equity Income ETF
QQQI,False,False,False,True,NEOS Nasdaq 100 High Income ETF
QTR,True,True,False,False,Global X NASDAQ 100 Tail Risk ETF
QYLD,True,False,False,True,Global X NASDAQ 100 Covered Call ETF
QYLG,True,False,False,True,Global X Nasdaq 100 Covered Call & Growth ETF
RBLY,True,False,False,False,YieldMax RBLX Option Income Strategy ETF
RDTE,True,False,False,False,Roundhill Russell 2000 0DTE Covered Call Strategy ETF
RDTY,True,False,False,False,YieldMax R2000 0DTE Covered Strategy ETF
RDYY,True,False,False,False,YieldMax RDDT Option Income Strategy ETF
RISR,True,False,False,False,FolioBeyond Alternative Income and Interest Rate Hedge ETF
RNTY,True,False,False,False,YieldMax Target 12 Real Estate Option Income ETF
RPAR,True,False,False,True,RPAR Risk Parity ETF
RPHS,True,False,False,False,Regents Park Hedged Market Strategy ETF
RSBA,True,False,False,False,Return Stacked Bonds & Merger Arbitrage ETF
RSBT,True,True,False,True,Return Stacked Bonds & Managed Futures ETF
RSST,True,True,False,False,Return Stacked U.S. Stocks & Managed Futures ETF
RYLD,True,False,False,False,Global X Russell 2000 Covered Call ETF
RYLG,True,False,False,False,Global X Russell 2000 Covered Call & Growth ETF
RYSE,True,False,False,False,Vest 10 Year Interest Rate Hedge ETF
SAPH,True,False,False,False,SAP SE ADRhedged
SBAR,False,False,False,True,Simplify Barrier Income ETF
SCEP,True,False,False,False,Sterling Capital Hedged Equity Premium Income ETF
SCHD,False,False,True,False,Schwab US Dividend Equity ETF
SCLS,True,False,False,False,Stoneport Advisors Commodity Long Short ETF
SCMC,True,False,False,False,Sterling Capital Multi-Strategy Income ETF
SCO,False,False,True,False,ProShares UltraShort Bloomberg Crude Oil
SDMF,True,False,False,False,Simplify DBi CTA Managed Futures Index ETF
SDTY,True,False,False,False,YieldMax S&P 500 0DTE Covered Call Strategy ETF
SEPI,True,False,False,False,Shelton Equity Premium Income ETF
SFTX,True,False,False,False,Horizon International Managed Risk ETF
SFTY,True,False,False,False,Horizon Managed Risk ETF
SHDG,True,False,False,False,Soundwatch Hedged Equity ETF
SHEH,True,False,False,False,Shell plc ADRhedged
SHUS,True,False,False,False,Stratified LargeCap Hedged ETF
SIXH,True,False,False,False,ETC 6 Meridian Hedged Equity Index Option ETF
SLJY,True,False,False,False,Amplify SILJ Junior Silver Miners Covered Call ETF
SLTY,True,False,False,False,YieldMax Ultra Short Option Income Strategy ETF
SLVO,True,False,False,False,"UBS AG ETRACS Silver Shares Covered Call ETNs due April 21, 2033 ETP 2022-21.04.33 on CS NQ Slv FLS106 Pr"
SMCY,True,False,False,False,YieldMax SMCI Option Income Strategy ETF
SMH,False,False,True,False,VanEck Semiconductor ETF
SNOY,True,False,False,False,YieldMax SNOW Option Income Strategy ETF
SOLM,True,False,False,False,Amplify Solana 3% Monthly Option Income ETF
SOXY,True,False,False,False,YieldMax Target 12 Semiconductor Option Income ETF
SPIN,True,True,False,False,State Street US Equity Premium Income ETF
SPUT,True,False,False,False,Innovator Daily PutWrite ETF
SPY,False,False,True,False,State Street SPDR S&P 500 ETF
SPYH,True,False,False,False,NEOS S&P 500 Hedged Equity Income ETF
SPYI,False,False,False,True,NEOS S&P 500 High Income ETF
SRHR,True,False,False,False,SRH REIT Covered Call ETF
STHH,True,False,False,False,STMicroelectronics NV ADRhedged
STRN,True,False,False,False,SMART Trend 25 ETF
TAIL,True,True,False,True,Cambria Tail Risk ETF
TCAL,True,False,False,True,T. Rowe Price Capital Appreciation Premium Income ETF
TFFI,True,False,False,False,Chesapeake Trend-Following Fixed Income ETF
TFPN,True,False,False,False,Blueprint Chesapeake Multi-Asset Trend ETF
THEQ,True,False,False,False,T. Rowe Price Hedged Equity ETF
THMZ,True,False,False,False,Lazard Equity Megatrends ETF
TLTP,True,False,False,False,Amplify TLT U.S. Treasury 12% Option Income ETF
TLTW,True,False,False,False,iShares 20+ Year Treasury Bond BuyWrite Strategy ETF
TMH,True,False,False,False,Toyota Motor Corporation ADRhedged
TOAK,True,True,False,False,Twin Oak Short Horizon Absolute Return ETF
TRND,True,False,False,False,Pacer Trendpilot Fund of Funds ETF
TSLY,True,False,False,False,YieldMax TSLA Option Income Strategy ETF
TSMY,True,False,False,False,YieldMax TSM Option Income Strategy ETF
TYLG,True,False,False,False,Global X Information Technology Covered Call & Growth ETF
ULTI,True,False,False,False,REX IncomeMax Option Strategy ETF
ULTY,True,False,False,False,YieldMax Ultra Option Income Strategy ETF
UPAR,True,False,False,False,UPAR Ultra Risk Parity ETF
USE,True,False,False,False,USCF Energy Commodity Strategy Absolute Return Fund
USO,False,False,True,False,United States Oil Fund LP
USOI,True,False,False,False,"UBS AG ETRACS Crude Oil Shares Covered Call ETNs due April 24, 2037"
USOY,False,True,False,False,Defiance Oil Enhanced Options Income ETF
VEGA,True,False,False,False,AdvisorShares STAR Global Buy-Write ETF
VOO,False,False,True,False,Vanguard S&P 500 ETF
VTI,False,False,True,False,Vanguard Total Stock Market ETF
WEEL,True,False,False,False,Peerless Option Income Wheel ETF
WNTR,True,False,False,False,YieldMax MSTR Short Option Income Strategy ETF
WTLS,True,False,False,False,WisdomTree Efficient Long/Short U.S. Equity Fund
WTMF,True,False,False,True,WisdomTree Managed Futures Strategy Fund
WTPI,True,False,False,False,WisdomTree Equity Premium Income Fund
XCLR,True,False,False,False,Global X S&P 500 Collar 95-110 ETF
XDTE,True,False,False,False,Roundhill S&P 500 0DTE Covered Call Strategy ETF
XIDE,True,False,False,False,FT Vest U.S. Equity Buffer & Premium Income ETF - December
XIJN,True,False,False,False,FT Vest U.S. Equity Buffer & Premium Income ETF - June
XIMR,True,False,False,False,FT Vest U.S. Equity Buffer & Premium Income ETF - March
XISE,True,False,False,False,FT Vest U.S. Equity Buffer & Premium Income ETF - September
XLBI,True,False,False,False,State Street Materials Select Sector SPDR Premium Income ETF
XLCI,True,False,False,False,State Street Communication Services Select Sector SPDR Premium Income ETF
XLE,False,False,True,False,State Street Energy Select Sector SPDR ETF
XLEI,True,False,False,False,State Street Energy Select Sector SPDR Premium Income ETF
XLFI,True,False,False,False,State Street Financial Select Sector SPDR Premium Income ETF
XLII,True,False,False,False,State Street Industrial Select Sector SPDR Premium Income ETF
XLKI,True,False,False,False,State Street Technology Select Sector SPDR Premium Income ETF
XLRI,True,False,False,False,State Street Real Estate Select Sector SPDR Premium Income ETF
XLSI,True,False,False,False,State Street Consumer Staples Select Sector SPDR Premium Income ETF
XLUI,True,False,False,False,State Street Utilities Select Sector SPDR Premium Income ETF
XLVI,True,False,False,False,State Street Health Care Select Sector SPDR Premium Income ETF
XLYI,True,False,False,False,State Street Consumer Discretionary Select Sector SPDR Premium Income ETF
XOMO,True,False,False,False,YieldMax XOM Option Income Strategy ETF
XRPM,True,False,False,False,Amplify XRP 3% Monthly Premium Income ETF
XTR,True,True,False,False,Global X S&P 500 Tail Risk ETF
XVOL,True,False,False,False,Acruence Active Hedge U.S. Equity ETF
XYLD,True,False,False,True,Global X S&P 500 Covered Call ETF
XYLG,True,False,False,True,Global X S&P 500 Covered Call & Growth ETF
XYZY,True,False,False,False,YieldMax XYZ Option Income Strategy ETF
YBIT,True,False,False,False,YieldMax Bitcoin Option Income Strategy ETF
YBMN,True,False,False,False,Defiance BMNR Option Income ETF
YBTC,True,False,False,False,Roundhill Bitcoin Covered Call Strategy ETF
YETH,True,False,False,False,Roundhill Ether Covered Call Strategy ETF
YMAG,True,True,False,False,YieldMax Magnificent 7 Fund of Option Income ETFs
YMAX,True,True,False,False,YieldMax Universe Fund of Option Income ETFs
YQQQ,True,False,False,False,YieldMax Short N100 Option Income Strategy ETF
ZHDG,True,False,False,False,Zega Buy & Hedge ETF
^ARB-IV,False,True,False,False,ALTSHARES MERGER ARBITRAGE ETF
